Title;Genre;Premiere;Runtime;IMDB Score;Language
Lionheart;Comedy;04/01/2019;94;57;English
Little Evil;Comedy horror;01/09/2017;94;57;English
One Take;Documentary;18/06/2020;85;57;Thai
Out of Many, One;Documentary;12/12/2018;34;57;English
Point Blank;Action;12/07/2019;86;57;English
Prime Time;Thriller;14/04/2021;91;57;Polish
The Do-Over;Action comedy;27/05/2016;108;57;English
The Holiday Calendar;Romantic comedy;02/11/2018;95;57;English
The Woman in the Window;Psychological thriller;14/05/2021;100;57;English
The Wrong Missy;Comedy;13/05/2020;90;57;English
Velvet Buzzsaw;Thriller;01/02/2019;112;57;English
Yes Day;Comedy;12/03/2021;86;57;English
15 August;Comedy-drama;29/03/2019;124;58;Marathi
A California Christmas;Romantic comedy;14/12/2020;107;58;English
A Christmas Prince;Romantic comedy;17/11/2017;92;58;English
All Day and a Night;Drama;01/05/2020;121;58;English
American Son;Drama;01/11/2019;90;58;English
Barry;Biopic;16/12/2016;104;58;English
Candy Jar;Comedy;27/04/2018;92;58;English
Choked: Paisa Bolta Hai;Drama;05/06/2020;114;58;Hindi
Class of '83;Drama;21/08/2020;98;58;Hindi
Extinction;Science fiction/Thriller;27/07/2018;95;58;English
Happy Anniversary;Romantic comedy;30/03/2018;78;58;English
I Am All Girls;Thriller;14/05/2021;107;58;English
Let It Snow;Romantic comedy;08/11/2019;92;58;English
Mascots;Mockumentary;13/10/2016;95;58;English
Operation Christmas Drop;Romantic comedy;05/11/2020;96;58;English
Rajma Chawal;Comedy-drama;30/11/2018;118;58;Hindi
Rich in Love;Romantic comedy;30/04/2020;105;58;Portuguese
Rising High;Satire;17/04/2020;94;58;German
Rodney King;One-man show;28/04/2017;52;58;English
Sierra Burgess Is a Loser;Romantic comedy-drama;07/09/2018;105;58;English
Small Crimes;Dark comedy;28/04/2017;95;58;English
Special Correspondents;Satire;29/04/2016;100;58;English
TAU;Science fiction/Thriller;29/06/2018;97;58;English
The After Party;Comedy;24/08/2018;89;58;English
The Babysitter: Killer Queen;Comedy/Horror;10/09/2020;102;58;English
The Claus Family;Fantasy;07/12/2020;96;58;Dutch
The Kissing Booth 2;Romantic comedy;24/07/2020;131;58;English
The Perfect Date;Romantic comedy;12/04/2019;89;58;English
What We Wanted;Drama;11/11/2020;93;58;German
You've Got This;Romantic comedy;02/10/2020;111;58;Spanish
6 Balloons;Drama;06/04/2018;75;59;English
A Fall from Grace;Thriller;17/01/2020;120;59;English
Amateur;Sports-drama;06/04/2018;96;59;English
Army of the Dead;Zombie/Heist;21/05/2021;148;59;English
Cam;Psychological horror;16/11/2018;94;59;English
Earthquake Bird;Mystery;15/11/2019;107;59;English
Frankenstein's Monster's Monster, Frankenstein;Mockumentary;16/07/2019;32;59;English
Horse Girl;Drama;07/02/2020;104;59;English
Notes from Dunblane: Lesson from a School Shooting;Documentary;28/09/2018;23;59;English
Maska;Romantic comedy;27/03/2020;111;59;Hindi
The Decline;Thriller;27/03/2020;83;59;French
The Minimalists: Less Is Now;Documentary;01/01/2021;53;59;English
The Polka King;Comedy-drama;12/01/2018;95;59;English
The Prom;Musical;11/12/2020;132;59;English
True Memoirs of an International Assassin;Action comedy;11/11/2016;98;59;English
Ultras;Sports film;20/03/2020;108;59;Italian
Come Sunday;Biopic;13/04/2018;106;6;English
Forgive Us Our Debts;Drama;04/05/2018;104;6;Italian
iBoy;Science fiction/Thriller;27/01/2017;90;6;English
Lovefucked;Drama;09/08/2019;106;6;Hindi
Juanita;Drama;08/03/2019;90;6;English
Murder Mystery;Comedy mystery;14/06/2019;97;6;English
Project Power;Superhero;14/08/2020;113;6;English
Rebecca;Romantic thriller;21/10/2020;123;6;English
The Christmas Chronicles: Part Two;Christmas comedy;25/11/2020;115;6;English
The Kissing Booth;Romantic comedy;11/05/2018;105;6;English
The Princess Switch;Romantic comedy;16/11/2018;101;6;English
To All the Boys: P.S. I Still Love You;Romantic comedy;12/02/2020;102;6;English
War Machine;War-Comedy;26/05/2017;122;6;English
6 Underground;Action;13/12/2019;128;61;English
Between Two Ferns: The Movie;Comedy;20/09/2019;82;61;English
Burning Sands;Drama;10/03/2017;102;61;English
Casting JonBenet;Documentary;28/04/2017;80;61;English
Deidra & Laney Rob a Train;Drama;17/03/2017;94;61;English
Finding 'Ohana;Family;29/01/2021;123;61;English
Holidate;Romantic comedy/Holiday;28/10/2020;104;61;English
Holiday in the Wild;Adventure-romance;01/11/2019;85;61;English
Hot Girls Wanted;Documentary;29/05/2015;84;61;English
Like Father;Comedy;03/08/2018;103;61;English
Lost Girls;Crime drama;13/03/2020;95;61;English
Otherhood;Comedy;02/08/2019;100;61;English
Pee-wee's Big Holiday;Adventure;18/03/2016;89;61;English
Rogue City;Crime drama;30/10/2020;116;61;French
Sergio;Biopic;17/04/2020;118;61;English
Stuck Apart;Drama;08/01/2021;96;61;Turkish
Tersanjung the Movie;Drama;01/04/2021;114;61;Indonesian
The Killer;Western;10/11/2017;99;61;Portuguese
The Lovebirds;Romantic comedy;22/05/2020;87;61;English
The Most Hated Woman in America;Biopic;24/03/2017;92;61;English
The Perfection;Horror-thriller;24/05/2019;90;61;English
Tribhanga – Tedhi Medhi Crazy;Drama;15/01/2021;95;61;Hindi
Unknown Origins;Thriller;28/08/2020;96;61;Spanish
Work It;Dance comedy;07/08/2020;93;61;English
Alien Xmas;Stop Motion;20/11/2020;42;62;English
Baggio: The Divine Ponytail;Biopic;26/05/2021;92;62;Italian
Below Zero;Drama;29/01/2021;106;62;Spanish
Citation;Drama;06/11/2020;151;62;English
Crazy Awesome Teachers;Comedy-drama;17/08/2020;101;62;Indonesian
Have You Ever Seen Fireflies?;Comedy;09/04/2021;114;62;Turkish
High Flying Bird;Sports-drama;08/02/2019;90;62;English
In the Shadow of the Moon;Thriller;27/09/2019;115;62;English
Lost Bullet;Thriller;19/06/2020;92;62;French
Octonauts & the Caves of Sac Actun;Animation;14/08/2020;72;62;English
Offering to the Storm;Thriller;24/07/2020;139;62;Spanish
Roxanne Roxanne;Biopic;23/03/2018;98;62;English
Someone Great;Romantic comedy;19/04/2019;92;62;English
Spenser Confidential;Action comedy;06/03/2020;111;62;English
The Land of Steady Habits;Drama;14/09/2018;98;62;English
The Rachel Divide;Documentary;27/04/2018;104;62;English
Voyuer ;Documentary;01/12/2017;95;62;English
Win It All;Comedy;07/04/2017;88;62;English
1922;Horror/Crime drama;20/10/2017;102;63;English
A Tale of Two Kitchens;Documentary;22/05/2019;30;63;English/Spanish
Alex Strangelove;Romantic comedy;08/06/2018;99;63;English
Apostle;Horror-thriller;12/10/2018;129;63;English
Benji;Family film;16/03/2018;87;63;English
Bright;Urban fantasy;22/12/2017;117;63;English
Cargo;Drama/Horror;18/05/2018;104;63;English
Concrete Cowboy;Drama;02/04/2021;111;63;English
Feel the Beat;Family/Comedy-drama;19/06/2020;107;63;English
Get the Goat;Comedy;18/03/2021;97;63;Portuguese
I Am Not an Easy Man;Romantic comedy;13/04/2018;98;63;French
June & Kopi;Drama;28/01/2021;90;63;Indonesian
Music Teacher;Drama;19/04/2019;101;63;Hindi
Nail Bomber: Manhunt;Documentary;26/05/2021;72;63;English
Notes for My Son;Drama;24/11/2020;83;63;Spanish
Polar;Action;25/01/2019;118;63;English
Porta dos Fundos: The Last Hangover;Comedy;21/12/2018;44;63;Portuguese
Sand Castle;War;21/04/2017;113;63;English
Shimmer Lake;Crime thriller;09/06/2017;86;63;English
Spectral;Science fiction/Action;09/12/2016;108;63;English
The Babysitter;Teen comedy horror;13/10/2017;85;63;English
The Discovery;Science fiction/Drama;31/03/2017;102;63;English
The Forest of Love;Drama;11/10/2019;151;63;Japanese
The Laundromat;Comedy-drama;18/10/2019;98;63;English
The Legend of Cocaine Island;Documentary;29/03/2019;87;63;English
The Outsider;Crime drama;09/03/2018;120;63;English/Japanese
Time to Hunt;Thriller;23/04/2020;134;63;Korean
To All the Boys: Always and Forever;Romantic comedy;12/02/2021;109;63;English
Travis Scott: Look Mom I Can Fly;Documentary;28/08/2019;85;63;English
Uncorked;Drama;27/03/2020;103;63;English
Anelka: Misunderstood;Documentary;05/08/2020;94;64;French
Ariana Grande: Excuse Me, I Love You;Concert Film;21/12/2020;97;64;English
ARQ;Science fiction/Thriller;16/09/2016;88;64;English
Birders;Documentary;25/09/2019;37;64;English/Spanish
Como Caído del Cielo;Musical comedy;24/12/2019;112;64;Spanish
First Match;Sports-drama;30/03/2018;102;64;English
Fractured;Thriller;11/10/2019;100;64;English
Irreplaceable You;Drama;16/02/2018;96;64;English
Isi & Ossi;Romantic comedy;14/02/2020;113;64;German
John Was Trying to Contact Aliens;Documentary;20/08/2020;16;64;English
Layla Majnun;Romantic drama;11/02/2021;119;64;Indonesian
Murder to Mercy: The Cyntoia Brown Story;Documentary;29/04/2020;97;64;English
My Own Man;Documentary;13/12/2014;81;64;English
Nappily Ever After;Comedy-drama;21/09/2018;98;64;English
Over the Moon;Animation/Musical/Adventure;23/10/2020;95;64;English
Street Flow;Drama;12/10/2019;96;64;French
Strong Island;Documentary;15/09/2017;107;64;English
Sturgill Simpson Presents: Sound & Fury;Animation / Musicial;27/09/2019;41;64;English
Take Your Pills;Documentary;16/03/2018;87;64;English
The Heartbreak Club;Comedy-drama;14/01/2021;101;64;Indonesian
The Mars Generation;Documentary;05/05/2017;97;64;English
The Occupant;Thriller;25/03/2020;103;64;Spanish
The Willoughbys;Animation/Comedy/Adventure;22/04/2020;90;64;English
Triple Frontier;Action-thriller;13/03/2019;125;64;English
Two Catalonias;Documentary;28/09/2018;116;64;Spanish/Catalan
Walk. Ride. Rodeo.;Drama;08/03/2019;99;64;English
Wheelman;Action thriller;20/10/2017;82;64;English
When We First Met;Romantic comedy;09/02/2018;97;64;English
A 3 Minute Hug;Documentary;28/10/2019;28;65;English/Spanish
All the Bright Places;Romance;28/02/2020;108;65;English
All Together Now;Drama;28/08/2020;93;65;English
Altered Carbon: Resleeved;Anime/Science fiction;19/03/2020;74;65;Japanese
Antoine Griezmann: The Making of a Legend;Documentary;21/03/2019;60;65;French
Canvas ;Animation / Short;11/12/2020;9;65;English
Chadwick Boseman: Portrait of an Artist;Documentary;17/04/2021;21;65;English
Chopsticks;Comedy;31/05/2019;100;65;Hindi
Da 5 Bloods;War drama;12/06/2020;155;65;English
Dolly Parton: A MusiCares Tribute;Documentary;07/04/2021;55;65;English
Eurovision Song Contest: The Story of Fire Saga;Musical comedy;26/06/2020;123;65;English
Gerald's Game;Horror thriller;29/09/2017;103;65;English
His House;Thriller;30/10/2020;93;65;English
Jingle Jangle: A Christmas Journey;Family/Christmas musical;13/11/2020;119;65;English
Life Overtakes Me;Documentary;14/06/2019;40;65;English/Swedish
Lust Stories;Drama;15/06/2018;120;65;Hindi
Monster;Drama;07/05/2021;98;65;English
Mowgli: Legend of the Jungle;Adventure;07/12/2018;104;65;English
Nobody Knows I'm Here;Drama;24/06/2020;91;65;Spanish
Nobody Speak: Trials of the Free Press;Documentary;23/06/2017;95;65;English
Oxygen;Science fiction thriller;12/05/2021;101;65;French
Set It Up;Romantic comedy;15/06/2018;105;65;English
The Incredible Jessica James;Comedy;28/07/2017;83;65;English
Tigertail;Drama;10/04/2020;91;65;English/Taiwanese/Mandarin
Tramps;Romance;21/04/2017;83;65;English
What Did Jack Do?;Drama / Short;20/01/2020;17;65;English
Bad Trip;Hidden-camera prank comedy;26/03/2021;86;66;English
Bird Box;Psychological thriller;21/12/2018;124;66;English
Bulbbul;Horror;24/06/2020;94;66;Hindi
Crazy About Her;Romantic comedy;26/02/2021;102;66;Spanish
Elisa & Marcela;Romance;07/06/2019;118;66;Spanish
I'll Sleep When I'm Dead;Documentary;19/08/2016;79;66;English
I'm Thinking of Ending Things;Psychological thriller;04/09/2020;134;66;English
It Takes a Lunatic;Documentary;25/10/2019;126;66;English
Milestone;Drama;07/05/2021;98;66;Hindi
Recovery Boys;Documentary;29/06/2018;89;66;English
ReMastered: Who Killed Jam Master Jay?;Documentary;07/12/2018;58;66;English
Shawn Mendes: In Wonder;Documentary;23/11/2020;83;66;English
Space Sweepers;Science fiction;05/02/2021;136;66;Korean
The American Meme;Documentary;07/12/2018;98;66;English
The Angel;Spy thriller;14/09/2018;114;66;English
The Crimes That Bind;Crime drama;20/08/2020;99;66;Spanish
The Red Sea Diving Resort;Spy thriller;31/07/2019;130;66;English
What Would Sophia Loren Do?;Documentary;15/01/2021;32;66;English
A Whisker Away;Anime/Fantasy;18/06/2020;104;67;Japanese
Ajeeb Daastaans;Drama;16/04/2021;142;67;Hindi
Arlo the Alligator Boy;Animated musical comedy;16/04/2021;92;67;English
Bikram: Yogi, Guru, Predator;Documentary;20/11/2019;86;67;English
Blame!;Anime/Science fiction;20/05/2017;106;67;Japanese
Blue Miracle;Drama;27/05/2021;95;67;English
CounterPunch ;Documentary;16/06/2017;91;67;English
Crack: Cocaine, Corruption & Conspiracy;Documentary;11/01/2021;89;67;English
Extraction;Action;24/04/2020;117;67;English
Giving Voice;Documentary;11/12/2020;90;67;English
Hillbilly Elegy;Drama;24/11/2020;117;67;English
Hope Frozen: A Quest to Live Twice;Documentary;15/09/2020;80;67;Thia/English
Imperial Dreams;Drama;03/02/2017;87;67;English
Just Another Christmas;Comedy;03/12/2020;101;67;Portuguese
Little Miss Sumo;Documentary;28/10/2019;19;67;Japanese
Malcolm & Marie;Romantic drama;05/02/2021;106;67;English
Michael Bolton's Big, Sexy, Valentine's Day Special;Variety Show;07/02/2017;54;67;English
Moxie;Drama;03/03/2021;111;67;English
Night in Paradise;Drama;09/04/2021;132;67;Korean
Paper Lives;Drama;12/03/2021;97;67;Turkish
Parchis: The Documentary;Documentary;10/07/2019;106;67;Spanish
Tallulah;Comedy-drama;29/07/2016;111;67;English
The Old Guard;Superhero/Action;10/07/2020;124;67;English
Tony Robbins: I Am Not Your Guru;Documentary;15/07/2016;116;67;English
Upstarts;Drama;18/10/2019;112;67;Hindi
22 July;Drama;10/10/2018;144;68;English
7 años;Drama;28/10/2016;76;68;Spanish
A Futile and Stupid Gesture;Biographical/Comedy;26/01/2018;101;68;English
A Life of Speed: The Juan Manuel Fangio Story;Documentary;20/03/2020;92;68;Spanish
A Love Song for Latasha;Documentary;21/09/2020;19;68;English
All in My Family;Documentary;03/05/2019;39;68;English/Mandarin
Always Be My Maybe;Romantic comedy;31/05/2019;102;68;English
Becoming;Documentary;06/05/2020;89;68;English
Long Live Brij Mohan;Comedy;03/08/2018;105;68;Hindi
Calibre;Thriller;29/06/2018;101;68;English
Death to 2020;Comedy;27/12/2020;70;68;English
GIMS: On the Record;Documentary;17/09/2020;96;68;French
Have a Good Trip: Adventures in Psychedelics;Documentary;11/05/2020;85;68;English
Heroin(e) ;Documentary;12/09/2017;39;68;English
Mercury 13;Documentary;20/04/2018;79;68;English
Saving Capitalism;Documentary;21/11/2017;73;68;English
Serious Men;Drama;02/10/2020;114;68;Hindi
The Boys in the Band;Drama;30/09/2020;121;68;English
The Boys in the Band: Something Personal;Aftershow / Interview;30/09/2020;28;68;English
The Life Ahead;Drama;13/11/2020;95;68;Italian
The Other Side of the Wind;Drama;02/11/2018;122;68;English
The Trader;Documentary;09/02/2018;23;68;Georgian
To the Bone;Drama;14/07/2017;107;68;English
Tony Parker: The Final Shot;Documentary;06/01/2021;98;68;French
AK vs AK;Thriller;24/12/2020;108;69;Hindi
Amanda Knox;Documentary;30/09/2016;92;69;English
Bigflo & Oil: Hip Hop Frenzy;Documentary;08/10/2020;100;69;French
Biggie: I Got a Story to Tell;Documentary;01/03/2021;97;69;English
Cops and Robbers;Animation / Short;28/12/2020;7;69;English
I Don't Feel at Home in This World Anymore;Drama;24/02/2017;96;69;English
Laerte-se;Documentary;19/05/2017;100;69;Portuguese
Mank;Biopic;04/12/2020;132;69;English
Our Souls at Night;Romance;29/09/2017;103;69;English
Outlaw King;Historical-epic;09/11/2018;121;69;English
Pagglait;Comedy-drama;26/03/2021;114;69;Hindi
ReMastered: Who Shot the Sheriff?;Documentary;12/10/2018;57;69;English
Seeing Allred;Documentary;09/02/2018;95;69;English
Spelling the Dream;Documentary;03/06/2020;83;69;English
The Claudia Kishi Club;Documentary;10/07/2020;17;69;English
The Half of It;Romance;01/05/2020;105;69;English
The Highwaymen;Crime drama;29/03/2019;131;69;English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience;Comedy / Musical;23/05/2019;30;69;English
The Meyerowitz Stories (New and Selected);Comedy-drama;13/10/2017;112;69;English
Feminists: What Were They Thinking?;Documentary;12/10/2018;86;7;English
Gaga: Five Foot Two;Documentary;22/09/2017;100;7;English
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron;Aftershow / Interview;03/11/2020;14;7;English
Kingdom of Us;Documentary;13/10/2017;109;7;English
Lorena, Light-Footed Woman;Documentary;20/11/2019;28;7;Spanish
Los Tigres del Norte at Folsom Prison;Documentary;15/09/2019;64;7;Spanish
Ma Rainey's Black Bottom;Drama;18/12/2020;94;7;English
Ma Rainey's Black Bottom: A Legacy Brought to Screen;Aftershow / Interview;18/12/2020;31;7;English
Operation Varsity Blues: The College Admissions Scandal;Documentary;17/03/2021;99;7;English
Pele;Documentary;23/02/2021;108;7;English
ReMastered: Devil at the Crossroads;Documentary;26/04/2019;48;7;English
ReMastered: The Lion's Share;Documentary;17/05/2019;84;7;English
ReMastered: The Miami Showband Massacre;Documentary;22/03/2019;70;7;English
Resurface;Documentary;01/09/2017;27;7;English
Rocko's Modern Life: Static Cling;Animation / Comedy;09/08/2019;45;7;English
Rose Island;Comedy;09/12/2020;117;7;Italian
The Christmas Chronicles;Christmas/Fantasy/Adventure/Comedy;22/11/2018;104;7;English
The Dirt;Biopic;22/03/2019;108;7;English
The Night Comes for Us;Action-thriller;19/10/2018;121;7;Indonesian
13th: A Conversation with Oprah Winfrey & Ava DuVernay;Aftershow / Interview;26/01/2017;36;71;English
